participant_id,FCWrong,type,condition,RespondedPercent,truePercent,abs_error,condition_order,label,trial_order
P7,,position_aligned,Visual,50,55,5,1,position_aligned_3,4
P7,,position_aligned,Visual,60,65,5,1,position_aligned_4,10
P7,,position_aligned,Visual,60,75,15,1,position_aligned_5,18
P7,,position_aligned,Visual,20,25,5,1,position_aligned_0,24
P7,,position_aligned,Visual,20,35,15,1,position_aligned_1,27
P7,,position_aligned,Visual,30,45,15,1,position_aligned_2,35
P8,,position_aligned,Visual,70,55,15,3,position_aligned_3,4
P8,,position_aligned,Visual,80,65,15,3,position_aligned_4,10
P8,,position_aligned,Visual,90,75,15,3,position_aligned_5,18
P8,,position_aligned,Visual,30,25,5,3,position_aligned_0,24
P8,,position_aligned,Visual,30,35,5,3,position_aligned_1,27
P8,,position_aligned,Visual,40,45,5,3,position_aligned_2,35
P9,,position_aligned,Visual,50,55,5,2,position_aligned_3,4
P9,,position_aligned,Visual,75,65,10,2,position_aligned_4,10
P9,,position_aligned,Visual,80,75,5,2,position_aligned_5,18
P9,,position_aligned,Visual,23,25,2,2,position_aligned_0,24
P9,,position_aligned,Visual,30,35,5,2,position_aligned_1,27
P9,,position_aligned,Visual,40,45,5,2,position_aligned_2,35
P10,,position_aligned,Visual,65,55,10,1,position_aligned_3,4
P10,,position_aligned,Visual,70,65,5,1,position_aligned_4,10
P10,,position_aligned,Visual,75,75,0,1,position_aligned_5,18
P10,,position_aligned,Visual,20,25,5,1,position_aligned_0,24
P10,,position_aligned,Visual,25,35,10,1,position_aligned_1,27
P10,,position_aligned,Visual,45,45,0,1,position_aligned_2,35
P11,,position_aligned,Visual,50,55,5,3,position_aligned_3,4
P11,,position_aligned,Visual,60,65,5,3,position_aligned_4,10
P11,,position_aligned,Visual,80,75,5,3,position_aligned_5,18
P11,,position_aligned,Visual,10,25,15,3,position_aligned_0,24
P11,,position_aligned,Visual,30,35,5,3,position_aligned_1,27
P11,,position_aligned,Visual,40,45,5,3,position_aligned_2,35
P12,,position_aligned,Visual,50,55,5,2,position_aligned_3,4
P12,,position_aligned,Visual,60,65,5,2,position_aligned_4,10
P12,,position_aligned,Visual,70,75,5,2,position_aligned_5,18
P12,,position_aligned,Visual,20,25,5,2,position_aligned_0,24
P12,,position_aligned,Visual,25,35,10,2,position_aligned_1,27
P12,,position_aligned,Visual,33,45,12,2,position_aligned_2,35
P1,,position_unaligned,Visual,60,65,5,2,position_unaligned_4,2
P1,,position_unaligned,Visual,70,75,5,2,position_unaligned_5,7
P1,,position_unaligned,Visual,30,25,5,2,position_unaligned_0,17
P1,,position_unaligned,Visual,25,35,10,2,position_unaligned_1,19
P1,,position_unaligned,Visual,40,45,5,2,position_unaligned_2,28
P1,,position_unaligned,Visual,50,55,5,2,position_unaligned_3,32
P2,,position_unaligned,Visual,55,65,10,2,position_unaligned_4,2
P2,,position_unaligned,Visual,85,75,10,2,position_unaligned_5,7
P2,,position_unaligned,Visual,15,25,10,2,position_unaligned_0,17
P2,,position_unaligned,Visual,30,35,5,2,position_unaligned_1,19
P2,,position_unaligned,Visual,40,45,5,2,position_unaligned_2,28
P2,,position_unaligned,Visual,50,55,5,2,position_unaligned_3,32
P3,,position_unaligned,Visual,75,65,10,3,position_unaligned_4,2
P3,,position_unaligned,Visual,80,75,5,3,position_unaligned_5,7
P3,,position_unaligned,Visual,25,25,0,3,position_unaligned_0,17
P3,,position_unaligned,Visual,30,35,5,3,position_unaligned_1,19
P3,,position_unaligned,Visual,50,45,5,3,position_unaligned_2,28
P3,,position_unaligned,Visual,55,55,0,3,position_unaligned_3,32
P4,,position_unaligned,Visual,60,65,5,1,position_unaligned_4,2
P4,,position_unaligned,Visual,70,75,5,1,position_unaligned_5,7
P4,,position_unaligned,Visual,20,25,5,1,position_unaligned_0,17
P4,,position_unaligned,Visual,25,35,10,1,position_unaligned_1,19
P4,,position_unaligned,Visual,50,45,5,1,position_unaligned_2,28
P4,,position_unaligned,Visual,50,55,5,1,position_unaligned_3,32
P5,,position_unaligned,Visual,66,65,1,1,position_unaligned_4,2
P5,,position_unaligned,Visual,75,75,0,1,position_unaligned_5,7
P5,,position_unaligned,Visual,25,25,0,1,position_unaligned_0,17
P5,,position_unaligned,Visual,50,35,15,1,position_unaligned_1,19
P5,,position_unaligned,Visual,50,45,5,1,position_unaligned_2,28
P5,,position_unaligned,Visual,50,55,5,1,position_unaligned_3,32
P6,,position_unaligned,Visual,70,65,5,3,position_unaligned_4,2
P6,,position_unaligned,Visual,80,75,5,3,position_unaligned_5,7
P6,,position_unaligned,Visual,25,25,0,3,position_unaligned_0,17
P6,,position_unaligned,Visual,30,35,5,3,position_unaligned_1,19
P6,,position_unaligned,Visual,40,45,5,3,position_unaligned_2,28
P6,,position_unaligned,Visual,60,55,5,3,position_unaligned_3,32
P7,,position_unaligned,Visual,60,65,5,1,position_unaligned_4,2
P7,,position_unaligned,Visual,60,75,15,1,position_unaligned_5,7
P7,,position_unaligned,Visual,20,25,5,1,position_unaligned_0,17
P7,,position_unaligned,Visual,30,35,5,1,position_unaligned_1,19
P7,,position_unaligned,Visual,50,45,5,1,position_unaligned_2,28
P7,,position_unaligned,Visual,50,55,5,1,position_unaligned_3,32
P8,,position_unaligned,Visual,80,65,15,3,position_unaligned_4,2
P8,,position_unaligned,Visual,90,75,15,3,position_unaligned_5,7
P8,,position_unaligned,Visual,40,25,15,3,position_unaligned_0,17
P8,,position_unaligned,Visual,20,35,15,3,position_unaligned_1,19
P8,,position_unaligned,Visual,20,45,25,3,position_unaligned_2,28
P8,,position_unaligned,Visual,60,55,5,3,position_unaligned_3,32
P9,,position_unaligned,Visual,65,65,0,2,position_unaligned_4,2
P9,,position_unaligned,Visual,80,75,5,2,position_unaligned_5,7
P9,,position_unaligned,Visual,20,25,5,2,position_unaligned_0,17
P9,,position_unaligned,Visual,25,35,10,2,position_unaligned_1,19
P9,,position_unaligned,Visual,40,45,5,2,position_unaligned_2,28
P9,,position_unaligned,Visual,50,55,5,2,position_unaligned_3,32
P10,,position_unaligned,Visual,75,65,10,1,position_unaligned_4,2
P10,,position_unaligned,Visual,90,75,15,1,position_unaligned_5,7
P10,,position_unaligned,Visual,25,25,0,1,position_unaligned_0,17
P10,,position_unaligned,Visual,25,35,10,1,position_unaligned_1,19
P10,,position_unaligned,Visual,35,45,10,1,position_unaligned_2,28
P10,,position_unaligned,Visual,45,55,10,1,position_unaligned_3,32
P11,,position_unaligned,Visual,60,65,5,3,position_unaligned_4,2
P11,,position_unaligned,Visual,80,75,5,3,position_unaligned_5,7
P11,,position_unaligned,Visual,25,25,0,3,position_unaligned_0,17
P11,,position_unaligned,Visual,20,35,15,3,position_unaligned_1,19
P11,,position_unaligned,Visual,50,45,5,3,position_unaligned_2,28
P11,,position_unaligned,Visual,50,55,5,3,position_unaligned_3,32
P12,,position_unaligned,Visual,75,65,10,2,position_unaligned_4,2
P12,,position_unaligned,Visual,80,75,5,2,position_unaligned_5,7
P12,,position_unaligned,Visual,25,25,0,2,position_unaligned_0,17
P12,,position_unaligned,Visual,25,35,10,2,position_unaligned_1,19
P12,,position_unaligned,Visual,33,45,12,2,position_unaligned_2,28
P12,,position_unaligned,Visual,50,55,5,2,position_unaligned_3,32
P1,,curvatures,Tactile,50,65,15,1,curvatures_4,1
P1,,curvatures,Tactile,90,75,15,1,curvatures_5,7
P1,,curvatures,Tactile,50,25,25,1,curvatures_0,18
P1,,curvatures,Tactile,60,35,25,1,curvatures_1,24
P1,,curvatures,Tactile,90,45,45,1,curvatures_2,30
P1,,curvatures,Tactile,90,55,35,1,curvatures_3,32
P2,1.0,curvatures,Tactile,80,65,15,3,curvatures_4,1
P2,,curvatures,Tactile,60,75,15,3,curvatures_5,7
P2,,curvatures,Tactile,55,25,30,3,curvatures_0,18
P2,,curvatures,Tactile,55,35,20,3,curvatures_1,24
P2,,curvatures,Tactile,60,45,15,3,curvatures_2,30
P2,,curvatures,Tactile,75,55,20,3,curvatures_3,32
P3,,curvatures,Tactile,50,65,15,1,curvatures_4,1
P3,,curvatures,Tactile,80,75,5,1,curvatures_5,7
P3,,curvatures,Tactile,50,25,25,1,curvatures_0,18
P3,,curvatures,Tactile,60,35,25,1,curvatures_1,24
P3,,curvatures,Tactile,50,45,5,1,curvatures_2,30
P3,,curvatures,Tactile,35,55,20,1,curvatures_3,32
P4,,curvatures,Tactile,40,65,25,2,curvatures_4,1
P4,,curvatures,Tactile,80,75,5,2,curvatures_5,7
P4,,curvatures,Tactile,30,25,5,2,curvatures_0,18
P4,,curvatures,Tactile,50,35,15,2,curvatures_1,24
P4,,curvatures,Tactile,60,45,15,2,curvatures_2,30
P4,,curvatures,Tactile,60,55,5,2,curvatures_3,32
P5,,curvatures,Tactile,50,65,15,3,curvatures_4,1
P5,,curvatures,Tactile,50,75,25,3,curvatures_5,7
P5,,curvatures,Tactile,25,25,0,3,curvatures_0,18
P5,,curvatures,Tactile,50,35,15,3,curvatures_1,24
P5,,curvatures,Tactile,33,45,12,3,curvatures_2,30
P5,,curvatures,Tactile,50,55,5,3,curvatures_3,32
P6,1.0,curvatures,Tactile,80,65,15,2,curvatures_4,1
P6,,curvatures,Tactile,90,75,15,2,curvatures_5,7
P6,,curvatures,Tactile,30,25,5,2,curvatures_0,18
P6,,curvatures,Tactile,50,35,15,2,curvatures_1,24
P6,,curvatures,Tactile,45,45,0,2,curvatures_2,30
P6,,curvatures,Tactile,47,55,8,2,curvatures_3,32
P7,,curvatures,Tactile,80,65,15,2,curvatures_4,1
P7,,curvatures,Tactile,50,75,25,2,curvatures_5,7
P7,,curvatures,Tactile,50,25,25,2,curvatures_0,18
