"participant_id","FCWrong","type","condition","RespondedPercent","truePercent","abs_error","condition_order","trial_order","raw_error"
"P12",NA,"position_unaligned","Visual",80,75,5,2,7,5
"P12",NA,"position_unaligned","Visual",25,25,0,2,17,0
"P12",NA,"position_unaligned","Visual",25,35,10,2,19,-10
"P12",NA,"position_unaligned","Visual",33,45,12,2,28,-12
"P12",NA,"position_unaligned","Visual",50,55,5,2,32,-5
"P1",NA,"curvatures","Tactile",50,65,15,1,1,-15
"P1",NA,"curvatures","Tactile",90,75,15,1,7,15
"P1",NA,"curvatures","Tactile",50,25,25,1,18,25
"P1",NA,"curvatures","Tactile",60,35,25,1,24,25
"P1",NA,"curvatures","Tactile",90,45,45,1,30,45
"P1",NA,"curvatures","Tactile",90,55,35,1,32,35
"P2",1,"curvatures","Tactile",80,65,15,3,1,15
"P2",NA,"curvatures","Tactile",60,75,15,3,7,-15
"P2",NA,"curvatures","Tactile",55,25,30,3,18,30
"P2",NA,"curvatures","Tactile",55,35,20,3,24,20
"P2",NA,"curvatures","Tactile",60,45,15,3,30,15
"P2",NA,"curvatures","Tactile",75,55,20,3,32,20
"P3",NA,"curvatures","Tactile",50,65,15,1,1,-15
"P3",NA,"curvatures","Tactile",80,75,5,1,7,5
"P3",NA,"curvatures","Tactile",50,25,25,1,18,25
"P3",NA,"curvatures","Tactile",60,35,25,1,24,25
"P3",NA,"curvatures","Tactile",50,45,5,1,30,5
"P3",NA,"curvatures","Tactile",35,55,20,1,32,-20
"P4",NA,"curvatures","Tactile",40,65,25,2,1,-25
"P4",NA,"curvatures","Tactile",80,75,5,2,7,5
"P4",NA,"curvatures","Tactile",30,25,5,2,18,5
"P4",NA,"curvatures","Tactile",50,35,15,2,24,15
"P4",NA,"curvatures","Tactile",60,45,15,2,30,15
"P4",NA,"curvatures","Tactile",60,55,5,2,32,5
"P5",NA,"curvatures","Tactile",50,65,15,3,1,-15
"P5",NA,"curvatures","Tactile",50,75,25,3,7,-25
"P5",NA,"curvatures","Tactile",25,25,0,3,18,0
"P5",NA,"curvatures","Tactile",50,35,15,3,24,15
"P5",NA,"curvatures","Tactile",33,45,12,3,30,-12
"P5",NA,"curvatures","Tactile",50,55,5,3,32,-5
"P6",1,"curvatures","Tactile",80,65,15,2,1,15
"P6",NA,"curvatures","Tactile",90,75,15,2,7,15
"P6",NA,"curvatures","Tactile",30,25,5,2,18,5
"P6",NA,"curvatures","Tactile",50,35,15,2,24,15
"P6",NA,"curvatures","Tactile",45,45,0,2,30,0
"P6",NA,"curvatures","Tactile",47,55,8,2,32,-8
"P7",NA,"curvatures","Tactile",80,65,15,2,1,15
